業界,概要文
高齢者向け福祉業界の会社,大阪府堺市に本社を構え、在宅介護サービス事業やケアプラン作成業務を手掛ける会社である。
高齢者向け福祉業界の会社,「デイ・ホーム モア世田谷瀬田」「ヘルパーステーション モア世田谷瀬田」などを運営し、高齢者向けのデイサービスや訪問介護を手掛ける。また、訪問看護や訪問リハビリも請け負う。その他、福祉や高齢者介護に関するコンサルティングにも対応。
医療機器・実験機器メーカー業界の会社,ガーゼや脱脂綿などの業務用および家庭用の医療用衛生材料の製造、卸売を手掛ける。また、大人用おむつなどや清拭ウェットタオルなどの介護用品の取り扱いも手掛ける。その他、ネイル用コットンなどのネイルケア用品の取り扱いにも対応。
美容サロン業界の会社,ヘアサロン「ブレス」を大阪や奈良、兵庫、京都に20店舗展開している。24時間Web予約で、担当者が指名できるのが特徴である。また、ネイルスクールを併設しており、一部の店舗ではネイルやまつ毛エクステも取り扱っている。
ゴルフ場業界の会社,大阪府交野市にてゴルフ場「交野カントリー倶楽部」を運営をしている。ゴルフコースの管理や施設内のレストランの運営などを手掛ける。また、コースレッスン「ゴルフアカデミー」ではラウンドレッスンやスイングチェックなど、担当プロによるゴルフレッスンも行う。
ホテル・旅館業界の会社,宿泊施設の運営を行っており、「星のや」「界」「リゾナーレ」「OMO」などの4つの宿泊ブランドがある。その他にも、ブライダル事業やスキー場および別荘の管理なども手掛けている。また、不動産投資信託も行っている。
美容サロン業界の会社,美容院の経営を行っており、「vicca」「Liun」「CICATA」などのヘアサロンブランドを展開している。また、化粧品および美容器具の販売、写真撮影業、美容師ならびにヘアメイクアーティストの派遣業務などを行う。そのほか、オリジナル商品の企画、立案、販売も手掛けている。
医療機器・実験機器メーカー業界の会社,眼科医療を対象とした光学医療機器や精密機器の製造を行う。また、ブライダルのプロデュースやドレスレンタルを行う「フェアリーブライダル」「モードマリエ」を運営。ブライダルエステなどを提供するエステ店「シエスタ」も手掛ける。
自動車部品・カー用品製造業界の会社,「株式会社TF-METAL」の関係会社として、自動車用座席の金属フレームの溶接を請け負う。また、座席のリクライナー及びスライド機構部品などの組み立てや製造および販売を行う。
自動車部品・カー用品製造業界の会社,研究試作品や量産試作をはじめ、自動車電装部品などの製造を手掛けている。また、カークーラーのほか、コンプレッサー部品などの製造にも対応。
